AGO,Angola,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc552123f/'
BDI,Burundi,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521237/'
BEN,Benin,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc552123d/'
BFA,Burkina Faso,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521239/'
BWA,Botswana,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc552123b/'
CAF,Central African Republic,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521231/'
CIV,Ivory Coast,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521211/'
TCD, Chad, 'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc552122f/'
CMR,Cameroon,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521235/'
COD,Democratic Republic of the Congo,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521229/'
COG,Republic of Congo,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc552122b/'
COM,Comoros,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc552122d/'
CPV,Cape Verde,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521233/'
DJI,Djibouti,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521227/'
DZA,Algeria,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521241/'
EGY,Egypt,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521225/'
ERI,Eritrea,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521221/'
ETH,Ethiopia,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc552121d/'
GAB,Gabon,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc552121b/'
GHA,Ghana,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521217/'
GIN,Guinea,'https://acsd.knack.com/acsd#country-list/country-details3/5c8d33aeeb19477dc5521215/'
